arc_length,uh_0,uh_1,uh_2
0.01288,10.0191,0.0154814,0
0.0129,10.0191,0.0154812,0
0.01292,10.0191,0.0154809,0
0.01294,10.0191,0.0154807,0
0.01296,10.0191,0.0154805,0
0.01298,10.0191,0.0154802,0
0.013,10.0191,0.01548,0
0.01302,10.0191,0.0154797,0
0.01304,10.0191,0.0154795,0
0.01306,10.0191,0.0154792,0
0.01308,10.0191,0.015479,0
0.0131,10.0191,0.0154788,0
0.01312,10.0191,0.0154785,0
0.01314,10.0191,0.0154783,0
0.01316,10.0191,0.015478,0
0.01318,10.0191,0.0154778,0
0.0132,10.0191,0.0154775,0
0.01322,10.0191,0.0154773,0
0.01324,10.0191,0.0154771,0
0.01326,10.0191,0.0154768,0
0.01328,10.0191,0.0154766,0
0.0133,10.0191,0.0154763,0
0.01332,10.0191,0.0154761,0
0.01334,10.0191,0.0154759,0
0.01336,10.0191,0.0154756,0
0.01338,10.0191,0.0154754,0
0.0134,10.0191,0.0154751,0
0.01342,10.0191,0.0154749,0
0.01344,10.0191,0.0154747,0
0.01346,10.0191,0.0154744,0
0.01348,10.0191,0.0154742,0
0.0135,10.0191,0.0154739,0
0.01352,10.0191,0.0154737,0
0.01354,10.0191,0.0154734,0
0.01356,10.0191,0.0154732,0
0.01358,10.0191,0.015473,0
0.0136,10.0191,0.0154727,0
0.01362,10.0191,0.0154725,0
0.01364,10.0191,0.0154722,0
0.01366,10.0191,0.015472,0
0.01368,10.0191,0.0154718,0
0.0137,10.0191,0.0154715,0
0.01372,10.0191,0.0154713,0
0.01374,10.0191,0.015471,0
0.01376,10.0191,0.0154708,0
0.01378,10.0191,0.0154706,0
0.0138,10.0191,0.0154703,0
0.01382,10.0191,0.0154701,0
0.01384,10.0191,0.0154698,0
0.01386,10.0191,0.0154696,0
0.01388,10.0191,0.0154694,0
0.0139,10.0191,0.0154691,0
0.01392,10.0191,0.0154689,0
0.01394,10.0191,0.0154686,0
0.01396,10.0191,0.0154684,0
0.01398,10.0191,0.0154682,0
0.014,10.0191,0.0154679,0
0.01402,10.0191,0.0154677,0
0.01404,10.0191,0.0154674,0
0.01406,10.0191,0.0154672,0
0.01408,10.0191,0.015467,0
0.0141,10.0191,0.0154667,0
0.01412,10.0191,0.0154665,0
0.01414,10.0191,0.0154662,0
0.01416,10.0191,0.015466,0
0.01418,10.0191,0.0154658,0
0.0142,10.0191,0.0154655,0
0.01422,10.0191,0.0154653,0
0.01424,10.0191,0.015465,0
0.01426,10.0191,0.0154648,0
0.01428,10.0191,0.0154646,0
0.0143,10.0191,0.0154643,0
0.01432,10.0191,0.0154641,0
0.01434,10.0191,0.0154638,0
0.01436,10.0191,0.0154636,0
0.01438,10.0191,0.0154634,0
0.0144,10.0191,0.0154631,0
0.01442,10.0191,0.0154629,0
0.01444,10.0191,0.0154627,0
